# Annealed silica n-k data (2.222 - 99.9 um)
#
# Annealed silica optical constants that Rens Waters derived 
# from the published transmission spectra in Fabian et al. (2000). 
# Rens got these data from Cornelia Jaeger. These are from the 5 hour annealed sample. 
#
# First line is N_lam and rho [g/cm^3], other lines are: lambda[um] n k
44000 2.21
2.2222222222222223 1.231269516249418 0.040258209523162426
2.2222716060356897 1.2440811303012256 0.04025981189929439
2.222320992044091 1.2504859624874705 0.04026141427542636
2.2223703802475727 1.2547552744828228 0.04026301665155833
2.2224197706462805 1.2579568451259922 0.04026461902769029
2.222469163240361 1.260517755590982 0.04026622140382226
2.2225185580299605 1.2626515071316178 0.04026782377995423
2.2225679550152257 1.2644800317556817 0.04026942615608619
2.222617354196303 1.2660793652930522 0.04027102853221816
2.2226667555733384 1.2675000117196853 0.04027311586928347
2.222716159146479 1.2687787760023208 0.04027844871413246
2.2227655649158704 1.2699425313679913 0.040283781558981456
2.2228149728816593 1.2710101908459044 0.04028911440383044
2.222864383043993 1.271996557793884 0.040294447248679435
2.222913795403017 1.2729133468809952 0.04029978009352843
2.222963209958878 1.2737699964993565 0.04030511293837742
2.2230126267117227 1.2745742664223865 0.040310445783226415
2.2230620456616976 1.2753327254384434 0.04031577862807541
2.223111466808949 1.2760514101865161 0.0403211114729244
2.2231608901536237 1.2767341576744 0.040322672047997894
2.2232103156958685 1.2773822619147448 0.04032027483183258
2.2232597434358294 1.2779982916256583 0.04031787761566726
2.223309173373653 1.2785858781093953 0.040315480399501946
2.2233586055094867 1.2791477863266394 0.04031308318333663
2.2234080398434766 1.2796863584543248 0.040310685967171314
2.223457476375769 1.280203661994047 0.040308288751006
2.2235069151065106 1.2807015977177223 0.04030589153484068
2.2235563560358487 1.2811820617716958 0.040303494318675366
2.2236057991639293 1.2816475521671145 0.04030109710251005
2.2236552444908995 1.2820972328042646 0.04029173983876561
2.2237046920169057 1.2825295369221505 0.04028111561600656
2.2237541417420945 1.2829461105991085 0.040270491393247496
2.223803593666613 1.2833483680009579 0.04025986717048844
2.223853047790608 1.283737314448043 0.04024924294772938
2.2239025041142257 1.284113762360125 0.040238618724970324
2.223951962637613 1.2844783855036987 0.04022799450221126
2.2240014233609173 1.2848317203822897 0.04021737027945221
2.2240508862842847 1.2851740751700058 0.040206746056693145
2.2241003514078623 1.285505744726784 0.0401968771803605
2.2241498187317967 1.2858283872965341 0.04018997387595568
2.224199288256235 1.2861432521238663 0.04018307057155085
2.224248759981324 1.2864502062928993 0.04017616726714602
2.2242982339072097 1.2867494044303855 0.04016926396274119
2.2243477100340403 1.2870410355634463 0.04016236065833636
2.2243971883619618 1.2873252582350287 0.040155457353931535
2.2244466688911215 1.2876021483550903 0.040148554049526705
2.224496151621666 1.2878715882757923 0.040141650745121875
2.224545636553742 1.2881327806432483 0.040134747440717045
2.2245951236874975 1.2883869915876676 0.04013310690824495
2.2246446130230786 1.288637441627668 0.040135584658975876
2.224694104560632 1.2888848274090792 0.0401380624097068
2.224743598300305 1.2891284277517714 0.04014054016043772
2.2247930942422447 1.2893680896819335 0.040143017911168644
2.224842592386598 1.2896038191510009 0.040145495661899566
2.224892092733512 1.2898356911864786 0.04014797341263049
2.2249415952831337 1.290063823431478 0.04015045116336141
2.2249911000356097 1.2902883811233066 0.040152928914092334
2.225040606991088 1.2905096663553777 0.04015540666482326
2.2250901161497145 1.2907274281858132 0.04015669411663639
2.225139627511637 1.2909413680911284 0.04015787665635804
2.2251891410770024 1.2911517580489562 0.0401590591960797
2.2252386568459577 1.2913587969269538 0.04016024173580135
2.22528817481865 1.2915626465381087 0.040161424275523
2.225337694995227 1.2917634644800584 0.04016260681524465
2.225387217375835 1.2919614246171736 0.04016378935496631
2.2254367419606216 1.292156754056888 0.04016497189468796
2.2254862687497337 1.2923498729215788 0.040166154434409615
2.2255357977433188 1.2925409664978689 0.040166194640175804
2.225585328941524 1.2927287817050126 0.04016323828875806
2.225634862344496 1.2929126024381767 0.040160281937340316
2.225684397952383 1.2930930120050137 0.040157325585922575
2.2257339357653314 1.2932702323571057 0.04015436923450483
2.225783475783489 1.2934443752112328 0.04015141288308709
2.2258330180070023 1.293615484793491 0.04014845653166934
2.225882562436019 1.2937835312074457 0.0401455001802516
2.225932109070687 1.2939483461554533 0.04014254382883385
2.2259816579111527 1.2941092879354141 0.04013958747741611
2.2260312089575636 1.2942672986288282 0.04014045302257417
2.226080762210067 1.294424368247408 0.040143524899191325
2.2261303176688108 1.2945806573618357 0.04014659677580847
2.2261798753339415 1.2947356744588454 0.04014966865242563
2.2262294352056067 1.2948892593727837 0.04015274052904278
2.2262789972839543 1.295041346296721 0.04015581240565993
2.2263285615691313 1.2951919065577506 0.04015888428227708
2.226378128061285 1.2953409231419273 0.04016195615889423
2.226427696760563 1.2954883648296713 0.040165028035511384
2.2264772676671125 1.2956340958595316 0.04016809991212853
2.2265268407810814 1.2957785063599707 0.04017225589946165
2.2265764161026165 1.2959219999026492 0.04017642062962278
2.2266259936318655 1.296064473311059 0.04018058535978391
2.2266755733689765 1.2962059487020376 0.040184750089945036
2.226725155314096 1.2963464992048837 0.04018891482010616
2.226774739467372 1.2964862446290277 0.04019307955026729
2.226824325828952 1.296625375610936 0.040197244280428424
2.2268739143989835 1.296764232700182 0.04020140901058955
2.226923505177614 1.2969036509013536 0.04020557374075068
2.2269730981649913 1.2970435819522748 0.040206573681271174
2.227022693361263 1.297181160164633 0.04020167024628198
2.227072290766576 1.2973150322722464 0.040196766811292785
2.2271218903810786 1.2974463296106902 0.040191863376303594
