# lambda(um) flux(Jy) fluxerr(Jy)
18.01077 0.227985442 0.001483102
18.10201 0.230351953 0.001288242
18.19372 0.232459692 0.001505903
18.28589 0.234165299 0.002361327
18.37852 0.236022510 0.001910200
18.47163 0.238462911 0.001925510
18.56520 0.240922264 0.002274835
18.65925 0.244539081 0.001710114
18.75377 0.247684402 0.001960136
18.84878 0.250203779 0.001927357
18.94426 0.253405401 0.001113522
19.04022 0.255015027 0.001881950
19.13667 0.256998034 0.002141953
19.23361 0.259553273 0.001237472
19.33104 0.261382025 0.002074724
19.42896 0.262687714 0.001739770
19.52737 0.264065245 0.001674186
19.62629 0.265672608 0.001872061
19.72570 0.266807097 0.002638221
19.82562 0.266580511 0.001735126
19.92604 0.265591643 0.002138680
20.02697 0.264374874 0.002067764
20.12841 0.262697658 0.001649538
20.23036 0.261499601 0.002411527
20.33283 0.261185136 0.002670551
20.43582 0.262339474 0.002628906
20.53932 0.264330163 0.002158040
20.64335 0.266133356 0.001876503
20.74791 0.267766742 0.002331110
20.85299 0.269358240 0.002316842
20.95861 0.270004297 0.002088171
21.06476 0.270209533 0.002815751
21.17145 0.268119448 0.002419341
21.27868 0.265970771 0.002300568
21.38645 0.263390742 0.001788407
21.49476 0.262377507 0.002897753
21.60362 0.261444163 0.002109417
21.71304 0.261043125 0.002436209
21.82300 0.260304315 0.002068199
21.93352 0.258632111 0.002405174
22.04460 0.257105145 0.001480666
22.15625 0.256060434 0.002084327
22.26845 0.255503656 0.001755172
22.38123 0.256400101 0.001298375
22.49457 0.256959188 0.002252464
22.60849 0.257697695 0.002788193
22.72298 0.258728598 0.002509301
22.83806 0.260366547 0.002211812
22.95371 0.261689074 0.002306180
23.06995 0.262862377 0.003547101
23.18678 0.263891040 0.002060630
23.30420 0.264383180 0.002378618
23.42221 0.265122535 0.002924509
23.54082 0.265714766 0.003179094
23.66003 0.266636513 0.002518762
23.77984 0.266528320 0.003325358
23.90025 0.266087472 0.003050490
24.02128 0.264442075 0.003440394
24.14292 0.262608606 0.003918568
24.26517 0.262280451 0.003226223
24.38804 0.263804863 0.004021449
24.51154 0.265953955 0.003587184
24.63565 0.266601453 0.003648076
